,Train,Test
lookback_period:5,34.54573433518811,5.740935432197338
lookback_period:10,33.95472432664662,6.536365321354153
lookback_period:15,36.01559189623192,6.171735646323839
lookback_period:20,32.65783663388608,5.879629310665364
