formatted_date,adjclose
2016-01-04,151.7948455810547
2016-01-05,151.88343811035156
2016-01-06,149.71231079101562
2016-01-07,146.18531799316406
2016-01-08,144.6610870361328
2016-01-11,145.18394470214844
2016-01-12,146.1764373779297
2016-01-13,142.98619079589844
2016-01-14,144.9712677001953
2016-01-15,141.58070373535156
2016-01-19,141.8821258544922
2016-01-20,139.7452850341797
2016-01-21,140.62306213378906
2016-01-22,142.56483459472656
2016-01-25,140.7118377685547
2016-01-26,143.2298583984375
2016-01-27,141.24371337890625
2016-01-28,142.31661987304688
2016-01-29,145.73904418945312
2016-02-01,145.7125244140625
2016-02-02,143.11460876464844
2016-02-03,144.7017059326172
2016-02-04,145.5352020263672
2016-02-05,143.5845489501953
2016-02-08,142.17477416992188
2016-02-09,142.07723999023438
2016-02-10,141.32357788085938
2016-02-11,139.02713012695312
2016-02-12,141.8466796875
2016-02-16,143.81504821777344
2016-02-17,146.23562622070312
2016-02-18,145.87203979492188
2016-02-19,145.68780517578125
2016-02-22,147.68138122558594
2016-02-23,146.08831787109375
2016-02-24,146.5511474609375
2016-02-25,148.4823455810547
2016-02-26,147.98394775390625
2016-02-29,146.80923461914062
2016-03-01,149.9775390625
2016-03-02,150.30686950683594
2016-03-03,150.71624755859375
2016-03-04,151.31248474121094
2016-03-07,151.84646606445312
2016-03-08,150.9564971923828
2016-03-09,151.31248474121094
2016-03-10,151.34803771972656
2016-03-11,153.27926635742188
2016-03-14,153.439453125
2016-03-15,153.64414978027344
2016-03-16,154.3828582763672
2016-03-17,155.6911163330078
2016-03-18,156.69451904296875
2016-03-21,156.9799041748047
2016-03-22,156.70339965820312
2016-03-23,155.90957641601562
2016-03-24,156.0255584716797
2016-03-28,156.18612670898438
2016-03-29,157.03338623046875
2016-03-30,157.76470947265625
2016-03-31,157.541748046875
2016-04-01,158.5050048828125
2016-04-04,157.9699249267578
2016-04-05,156.81040954589844
2016-04-06,157.89846801757812
2016-04-07,156.3376922607422
2016-04-08,156.66775512695312
2016-04-11,156.4715118408203
2016-04-12,157.9430694580078
2016-04-13,159.5752716064453
2016-04-14,159.7447052001953
2016-04-15,159.47689819335938
2016-04-18,160.45872497558594
2016-04-19,160.940673828125
2016-04-20,161.32444763183594
2016-04-21,160.3872833251953
2016-04-22,160.56582641601562
2016-04-25,160.24453735351562
2016-04-26,160.33384704589844
2016-04-27,160.878173828125
2016-04-28,159.04849243164062
2016-04-29,158.504150390625
2016-05-02,159.49484252929688
2016-05-03,158.24526977539062
2016-05-04,157.37059020996094
2016-05-05,157.47767639160156
2016-05-06,158.28091430664062
2016-05-09,157.9596405029297
2016-05-10,159.94107055664062
2016-05-11,158.24526977539062
2016-05-12,158.35235595703125
2016-05-13,156.62081909179688
2016-05-16,158.2095489501953
2016-05-17,156.69223022460938
2016-05-18,156.7547607421875
2016-05-19,155.9068145751953
2016-05-20,156.52662658691406
2016-05-23,156.54452514648438
2016-05-24,158.40748596191406
2016-05-25,159.6793975830078
2016-05-26,159.50022888183594
2016-05-27,159.87644958496094
2016-05-31,159.1150665283203
2016-06-01,159.18675231933594
2016-06-02,159.6793975830078
2016-06-03,159.4822998046875
2016-06-06,160.48550415039062
2016-06-07,160.6646270751953
2016-06-08,161.273681640625
2016-06-09,161.11245727539062
2016-06-10,160.06454467773438
2016-06-13,158.8553924560547
2016-06-14,158.3627471923828
2016-06-15,158.1477508544922
2016-06-16,158.94497680664062
2016-06-17,158.41998291015625
2016-06-20,159.5687255859375
2016-06-21,159.802001953125
2016-06-22,159.36224365234375
2016-06-23,161.37255859375
2016-06-24,155.81732177734375
2016-06-27,153.6454315185547
2016-06-28,155.99679565429688
2016-06-29,158.52757263183594
2016-06-30,160.64564514160156
2016-07-01,160.92385864257812
2016-07-05,159.93661499023438
2016-07-06,160.62767028808594
2016-07-07,160.45721435546875
2016-07-08,162.7097930908203
2016-07-11,163.44570922851562
2016-07-12,164.58544921875
2016-07-13,164.77395629882812
2016-07-14,165.9945068359375
2016-07-15,166.0438995361328
2016-07-18,166.2235565185547
2016-07-19,166.5289306640625
2016-07-20,166.8521728515625
2016-07-21,166.1337127685547
2016-07-22,166.6096649169922
2016-07-25,165.9810791015625
2016-07-26,165.79244995117188
2016-07-27,165.7744598388672
2016-07-28,165.5948028564453
2016-07-29,165.37030029296875
2016-08-01,165.1367645263672
2016-08-02,164.32846069335938
2016-08-03,164.6787872314453
2016-08-04,164.75962829589844
2016-08-05,166.3851776123047
2016-08-08,166.40313720703125
2016-08-09,166.46604919433594
2016-08-10,166.25949096679688
2016-08-11,167.31922912597656
2016-08-12,166.95989990234375
2016-08-15,167.51683044433594
2016-08-16,166.83425903320312
2016-08-17,167.13958740234375
2016-08-18,167.35516357421875
2016-08-19,167.02713012695312
2016-08-22,166.84681701660156
2016-08-23,167.00906372070312
2016-08-24,166.43215942382812
2016-08-25,166.17086791992188
2016-08-26,165.67510986328125
2016-08-29,166.58546447753906
2016-08-30,166.29701232910156
2016-08-31,165.7833251953125
2016-09-01,165.9274444580078
2016-09-02,166.6124725341797
2016-09-06,167.02713012695312
2016-09-07,167.02713012695312
2016-09-08,166.5764617919922
2016-09-09,163.0524444580078
2016-09-12,165.20648193359375
2016-09-13,162.9532012939453
2016-09-14,162.6197052001953
2016-09-15,164.2690887451172
2016-09-16,163.42385864257812
2016-09-19,163.43292236328125
2016-09-20,163.49610900878906
2016-09-21,164.95005798339844
2016-09-22,165.8530731201172
2016-09-23,164.7333526611328
2016-09-26,163.22520446777344
2016-09-27,164.35401916503906
