formatted_date,adjclose
2016-01-04,165.98391723632812
2016-01-05,166.28109741210938
2016-01-06,164.17376708984375
2016-01-07,160.17526245117188
2016-01-08,158.47314453125
2016-01-11,158.4912109375
2016-01-12,159.80601501464844
2016-01-13,155.89756774902344
2016-01-14,158.42813110351562
2016-01-15,155.0330047607422
2016-01-19,155.20411682128906
2016-01-20,153.38494873046875
2016-01-21,154.13243103027344
2016-01-22,157.29342651367188
2016-01-25,154.96092224121094
2016-01-26,157.05929565429688
2016-01-27,155.27613830566406
2016-01-28,156.12269592285156
2016-01-29,160.07620239257812
2016-02-01,159.93211364746094
2016-02-02,157.03228759765625
2016-02-03,157.95086669921875
2016-02-04,158.14894104003906
2016-02-05,155.17709350585938
2016-02-08,153.04270935058594
2016-02-09,153.08778381347656
2016-02-10,152.9886932373047
2016-02-11,151.0254669189453
2016-02-12,154.1234588623047
2016-02-16,156.70803833007812
2016-02-17,159.2747039794922
2016-02-18,158.5992431640625
2016-02-19,158.56324768066406
2016-02-22,160.83265686035156
2016-02-23,158.81541442871094
2016-02-24,159.56285095214844
2016-02-25,161.4810791015625
2016-02-26,161.1838836669922
2016-02-29,159.74295043945312
2016-03-01,163.67849731445312
2016-03-02,164.3718719482422
2016-03-03,164.97528076171875
2016-03-04,165.5066375732422
2016-03-07,165.68673706054688
2016-03-08,163.82257080078125
2016-03-09,164.72311401367188
2016-03-10,164.81320190429688
2016-03-11,167.48789978027344
2016-03-14,167.23573303222656
2016-03-15,167.0195770263672
2016-03-16,168.01919555664062
2016-03-17,169.08189392089844
2016-03-18,169.71229553222656
2016-03-21,169.97119140625
2016-03-22,169.8807373046875
2016-03-23,168.79417419433594
2016-03-24,168.676513671875
2016-03-28,168.79417419433594
2016-03-29,170.41488647460938
2016-03-30,171.13015747070312
2016-03-31,170.72268676757812
2016-04-01,171.8182373046875
2016-04-04,171.27499389648438
2016-04-05,169.53665161132812
2016-04-06,171.38363647460938
2016-04-07,169.36463928222656
2016-04-08,169.8263702392578
2016-04-11,169.38272094726562
2016-04-12,171.0305633544922
2016-04-13,172.74179077148438
2016-04-14,172.72361755371094
2016-04-15,172.53350830078125
2016-04-18,173.78298950195312
2016-04-19,174.30810546875
2016-04-20,174.45294189453125
2016-04-21,173.48416137695312
2016-04-22,173.5294952392578
2016-04-25,173.248779296875
2016-04-26,173.50233459472656
2016-04-27,173.8644256591797
2016-04-28,172.29812622070312
2016-04-29,171.32028198242188
2016-05-02,172.68743896484375
2016-05-03,171.2116241455078
2016-05-04,170.20663452148438
2016-05-05,170.18853759765625
2016-05-06,170.80419921875
2016-05-09,170.98526000976562
2016-05-10,173.1039276123047
2016-05-11,171.4832305908203
2016-05-12,171.58290100097656
2016-05-13,169.99838256835938
2016-05-16,171.6914825439453
2016-05-17,170.17947387695312
2016-05-18,170.15231323242188
2016-05-19,169.6000213623047
2016-05-20,170.65933227539062
2016-05-23,170.43299865722656
2016-05-24,172.59690856933594
2016-05-25,173.77391052246094
2016-05-26,173.85540771484375
2016-05-27,174.53448486328125
2016-05-31,174.3262176513672
2016-06-01,174.65213012695312
2016-06-02,175.17730712890625
2016-06-03,174.67022705078125
2016-06-06,175.51229858398438
2016-06-07,175.8292236328125
2016-06-08,176.40863037109375
2016-06-09,176.13705444335938
2016-06-10,174.4438934326172
2016-06-13,173.13107299804688
2016-06-14,172.75082397460938
2016-06-15,172.49729919433594
2016-06-16,173.0586395263672
2016-06-17,172.41580200195312
2016-06-20,173.5204315185547
2016-06-21,174.01451110839844
2016-06-22,173.7233123779297
2016-06-23,175.97085571289062
2016-06-24,169.55581665039062
2016-06-27,166.56219482421875
2016-06-28,169.63772583007812
2016-06-29,172.55857849121094
2016-06-30,174.8879852294922
2016-07-01,175.2519989013672
2016-07-05,174.0235595703125
2016-07-06,175.0518341064453
2016-07-07,174.93350219726562
2016-07-08,177.59048461914062
2016-07-11,178.20925903320312
2016-07-12,179.46495056152344
2016-07-13,179.4012908935547
2016-07-14,180.44764709472656
2016-07-15,180.17471313476562
2016-07-18,180.693359375
2016-07-19,180.49317932128906
2016-07-20,181.2211456298828
2016-07-21,180.5386505126953
2016-07-22,181.3758087158203
2016-07-25,180.93902587890625
2016-07-26,180.92991638183594
2016-07-27,180.81166076660156
2016-07-28,181.01182556152344
2016-07-29,181.33029174804688
2016-08-01,181.1210174560547
2016-08-02,179.9927520751953
2016-08-03,180.5113983154297
2016-08-04,180.6842803955078
2016-08-05,182.14012145996094
2016-08-08,182.04916381835938
2016-08-09,182.16746520996094
2016-08-10,181.70338439941406
2016-08-11,182.5950927734375
2016-08-12,182.41311645507812
2016-08-15,182.94085693359375
2016-08-16,181.99452209472656
2016-08-17,182.29483032226562
2016-08-18,182.73159790039062
2016-08-19,182.47679138183594
2016-08-22,182.45860290527344
2016-08-23,182.7952880859375
2016-08-24,181.91265869140625
2016-08-25,181.76707458496094
2016-08-26,181.42132568359375
2016-08-29,182.34031677246094
2016-08-30,181.99452209472656
2016-08-31,181.5486602783203
2016-09-01,181.5122833251953
2016-09-02,182.3221435546875
2016-09-06,182.89537048339844
2016-09-07,182.8863067626953
2016-09-08,182.45860290527344
2016-09-09,178.0545654296875
2016-09-12,180.6023712158203
2016-09-13,178.02761840820312
2016-09-14,177.91796875
2016-09-15,179.74594116210938
2016-09-16,179.0421600341797
2016-09-19,179.09701538085938
2016-09-20,179.1153106689453
2016-09-21,181.12608337402344
2016-09-22,182.2137451171875
2016-09-23,181.23574829101562
2016-09-26,179.79168701171875
2016-09-27,180.88844299316406
2016-09-28,181.86642456054688
2016-09-29,180.15724182128906
2016-09-30,181.6013641357422
2016-10-03,181.02554321289062
2016-10-04,180.18467712402344
2016-10-05,180.9341583251953
2016-10-06,181.1443634033203
2016-10-07,180.47715759277344
2016-10-10,181.30886840820312
2016-10-11,179.1061553955078
2016-10-12,179.33462524414062
2016-10-13,178.7588653564453
2016-10-14,178.8045196533203
2016-10-17,178.27442932128906
2016-10-18,179.32550048828125
2016-10-19,179.8190460205078
2016-10-20,179.52662658691406
2016-10-21,179.57229614257812
2016-10-24,180.30349731445312
2016-10-25,179.79168701171875
2016-10-26,179.38951110839844
2016-10-27,178.9142303466797
2016-10-28,178.34751892089844
2016-10-31,178.34751892089844
2016-11-01,177.1045379638672
2016-11-02,175.93458557128906
2016-11-03,175.24908447265625
2016-11-04,175.01145935058594
2016-11-07,178.85023498535156
2016-11-08,179.67282104492188
2016-11-09,181.59222412109375
2016-11-10,182.0126953125
2016-11-11,181.6744842529297
2016-11-14,181.70193481445312
2016-11-15,183.1734161376953
2016-11-16,182.86268615722656
2016-11-17,183.73097229003906
2016-11-18,183.40194702148438
2016-11-21,184.75465393066406
2016-11-22,185.09280395507812
2016-11-23,185.25735473632812
2016-11-25,185.9976348876953
2016-11-28,185.12022399902344
2016-11-29,185.4127197265625
2016-11-30,184.9922637939453
2016-12-01,184.27023315429688
2016-12-02,184.39817810058594
2016-12-05,185.45840454101562
2016-12-06,186.10736083984375
2016-12-07,188.4654541015625
2016-12-08,188.95899963378906
2016-12-09,190.11065673828125
2016-12-12,189.9004364013672
2016-12-13,191.19827270507812
2016-12-14,189.61709594726562
2016-12-15,190.32086181640625
2016-12-16,189.99183654785156
2016-12-19,190.42138671875
2016-12-20,191.152587890625
2016-12-21,190.63162231445312
2016-12-22,190.38880920410156
2016-12-23,190.5543670654297
2016-12-27,191.02342224121094
2016-12-28,189.51512145996094
2016-12-29,189.4783477783203
2016-12-30,188.8253173828125
2017-01-03,190.14048767089844
2017-01-04,191.2625274658203
2017-01-05,191.11537170410156
2017-01-06,191.86038208007812
2017-01-09,191.25331115722656
2017-01-10,191.22573852539062
2017-01-11,191.7683868408203
2017-01-12,191.3452911376953
2017-01-13,191.722412109375
2017-01-17,191.0418243408203
2017-01-18,191.44650268554688
2017-01-19,190.80267333984375
2017-01-20,191.41888427734375
2017-01-23,190.97747802734375
2017-01-24,192.19143676757812
2017-01-25,193.791748046875
2017-01-26,193.64459228515625
2017-01-27,193.36868286132812
2017-01-30,192.2006378173828
2017-01-31,192.19143676757812
2017-02-01,192.21905517578125
2017-02-02,192.3018035888672
2017-02-03,193.7273406982422
2017-02-06,193.32269287109375
2017-02-07,193.36868286132812
2017-02-08,193.6169891357422
2017-02-09,194.7206573486328
2017-02-10,195.50242614746094
2017-02-13,196.5416717529297
2017-02-14,197.3602294921875
2017-02-15,198.3626251220703
2017-02-16,198.206298828125
2017-02-17,198.50985717773438
2017-02-21,199.67788696289062
2017-02-22,199.58587646484375
2017-02-23,199.6962432861328
2017-02-24,199.9353790283203
2017-02-27,200.2296905517578
2017-02-28,199.64105224609375
2017-03-01,202.4737548828125
2017-03-02,201.287353515625
2017-03-03,201.39768981933594
2017-03-06,200.77232360839844
2017-03-07,200.1653289794922
2017-03-08,199.7422332763672
2017-03-09,199.9538116455078
2017-03-10,200.6527557373047
2017-03-13,200.77232360839844
2017-03-14,200.09173583984375
2017-03-15,201.75637817382812
2017-03-16,201.41615295410156
2017-03-17,201.01141357421875
2017-03-20,200.83670043945312
2017-03-21,198.2707061767578
2017-03-22,198.6754150390625
2017-03-23,198.47210693359375
2017-03-24,198.407470703125
2017-03-27,198.08409118652344
2017-03-28,199.55322265625
2017-03-29,199.84889221191406
2017-03-30,200.38479614257812
2017-03-31,199.90432739257812
2017-04-03,199.6548614501953
2017-04-04,199.7657470703125
2017-04-05,199.15589904785156
2017-04-06,199.67335510253906
2017-04-07,199.49778747558594
2017-04-10,199.63636779785156
2017-04-11,199.3868865966797
2017-04-12,198.56454467773438
2017-04-13,197.24322509765625
2017-04-17,198.9710693359375
2017-04-18,198.42593383789062
2017-04-19,197.99169921875
2017-04-20,199.60865783691406
2017-04-21,199.02650451660156
2017-04-24,201.15170288085938
2017-04-25,202.3621063232422
2017-04-26,202.2142791748047
2017-04-27,202.37136840820312
2017-04-28,201.98329162597656
2017-05-01,202.47300720214844
2017-05-02,202.5376739501953
2017-05-03,202.3343963623047
2017-05-04,202.51919555664062
2017-05-05,203.332275390625
2017-05-08,203.341552734375
2017-05-09,203.08282470703125
2017-05-10,203.461669921875
2017-05-11,203.04588317871094
2017-05-12,202.7317352294922
2017-05-15,203.7573699951172
2017-05-16,203.7203369140625
2017-05-17,200.1076202392578
2017-05-18,200.83753967285156
2017-05-19,202.08494567871094
2017-05-22,203.21218872070312
2017-05-23,203.6094970703125
2017-05-24,204.09921264648438
2017-05-25,205.0509033203125
2017-05-26,205.06016540527344
2017-05-30,204.8661346435547
2017-05-31,204.81988525390625
2017-06-01,206.4184112548828
2017-06-02,207.06520080566406
2017-06-05,206.92660522460938
2017-06-06,206.33526611328125
2017-06-07,206.67713928222656
2017-06-08,206.7510528564453
2017-06-09,206.51080322265625
2017-06-12,206.4276885986328
2017-06-13,207.43479919433594
2017-06-14,207.2130584716797
2017-06-15,206.79725646972656
2017-06-16,206.85269165039062
2017-06-19,208.54356384277344
2017-06-20,207.1761016845703
2017-06-21,207.09295654296875
2017-06-22,206.97279357910156
2017-06-23,207.3255157470703
2017-06-26,207.39048767089844
2017-06-27,205.7383270263672
2017-06-28,207.5575408935547
2017-06-29,205.76620483398438
2017-06-30,206.109619140625
2017-07-03,206.56442260742188
2017-07-05,206.92637634277344
2017-07-06,205.07008361816406
2017-07-07,206.36949157714844
2017-07-10,206.58299255371094
2017-07-11,206.4251708984375
2017-07-12,207.97518920898438
2017-07-13,208.3279266357422
2017-07-14,209.27468872070312
2017-07-17,209.30250549316406
2017-07-18,209.46031188964844
2017-07-19,210.56480407714844
2017-07-20,210.6298065185547
2017-07-21,210.48129272460938
2017-07-24,210.4070587158203
2017-07-25,210.9082794189453
2017-07-26,210.97325134277344
2017-07-27,210.72264099121094
2017-07-28,210.48129272460938
2017-07-31,210.36062622070312
2017-08-01,210.833984375
2017-08-02,210.9546661376953
2017-08-03,210.58338928222656
2017-08-04,210.9361114501953
2017-08-07,211.27952575683594
2017-08-08,210.8618621826172
2017-08-09,210.7412109375
2017-08-10,207.8452911376953
2017-08-11,208.12374877929688
