,Train,Test
lookback_period:5,11.715806325813645,3.393671210018535
lookback_period:10,12.5299146742839,3.6469236635534577
lookback_period:15,12.96851323736116,3.778207136489078
lookback_period:20,14.815539838961033,3.625746693547782
